,id,year,make,model,trim1,trim2,make_model
1139,2d07f2ef3140,2015.0,Mercedes-Benz,E-Class,E-Class,E350,Mercedes-Benz_E-Class
1144,2d22baecdb12,2013.0,Mercedes-Benz,C-Class,C-Class,C250 Sport,Mercedes-Benz_C-Class
1180,2e3a775626f4,2013.0,Mercedes-Benz,C-Class,C-Class,C250 w/Premium Pkg 1,Mercedes-Benz_C-Class
1243,3071362591f7,2014.0,Mercedes-Benz,GLK-Class,GLK-Class,GLK350,Mercedes-Benz_GLK-Class
1393,36860c885526,2014.0,Mercedes-Benz,GLK,GLK,GLK350 w/Premium Pkg,Mercedes-Benz_GLK
1410,370a3fced4c4,2014.0,Mercedes-Benz,C-Class,C-Class,C 300 Sport 4MATIC,Mercedes-Benz_C-Class
1416,37300f157b03,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury 4MATIC,Mercedes-Benz_E-Class
1417,373071c379a3,2013.0,Mercedes-Benz,C-Class,C-Class,C300 Sport 4MATIC,Mercedes-Benz_C-Class
1449,388d72462036,2013.0,Mercedes-Benz,S-Class,S-Class,S550,Mercedes-Benz_S-Class
1451,38aff4f64e7e,2014.0,Mercedes-Benz,CLA,CLA,CLA 250,Mercedes-Benz_CLA
1488,39bbb1632821,2015.0,Mercedes-Benz,CLA,CLA,CLA 250,Mercedes-Benz_CLA
1644,3f8d611822bc,2016.0,Mercedes-Benz,SLK,SLK,SLK 300 W/ Premium 2 Pkg,Mercedes-Benz_SLK
1650,3fca2dafc9fc,2014.0,Mercedes-Benz,GLK,GLK,GLK 350 4MATIC w/Premium Pkg,Mercedes-Benz_GLK
1663,4029b44b356d,2016.0,Mercedes-Benz,Metris,Metris,Passenger,Mercedes-Benz_Metris
1689,419372549627,2013.0,Mercedes-Benz,GLK,GLK,GLK350 4MATIC,Mercedes-Benz_GLK
1754,43d9f0b90061,2012.0,Mercedes-Benz,C-Class,C-Class,C350 W/ Sport Pkg,Mercedes-Benz_C-Class
1778,45205780ed06,2013.0,Mercedes-Benz,M-Class,M-Class,ML350 4MATIC,Mercedes-Benz_M-Class
1806,461d69aa0ecd,2013.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury 4MATIC,Mercedes-Benz_E-Class
1816,46ab8df8c339,2014.0,Mercedes-Benz,C-Class,C-Class,C250 Luxury w/ Sport Pkg,Mercedes-Benz_C-Class
1873,489e9c3d7dc2,2014.0,Mercedes-Benz,C-Class,C-Class,C300 Luxury 4MATIC,Mercedes-Benz_C-Class
1880,48be12c0ac00,2014.0,Mercedes-Benz,CLS,CLS,CLS 550 4MATIC w/Premium Pkg 1,Mercedes-Benz_CLS
1917,4a6b2786780e,2014.0,Mercedes-Benz,C-Class,C-Class,C 250 Sport w/ Premium Pkg 1,Mercedes-Benz_C-Class
1928,4adb6b54d2f8,2013.0,Mercedes-Benz,C-Class,C-Class,C350,Mercedes-Benz_C-Class
1936,4afc1a0271c2,2014.0,Mercedes-Benz,CLA,CLA,CLA 250 W/ Premium Pkg,Mercedes-Benz_CLA
1938,4b17bc98d3fe,2014.0,Mercedes-Benz,C-Class,C-Class,C350 4MATIC W/ Sport Pkg,Mercedes-Benz_C-Class
1942,4b32c1c70355,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Sport w/ Sport Pkg,Mercedes-Benz_E-Class
1990,4d07a478e267,2014.0,Mercedes-Benz,GLK,GLK,GLK350 4MATIC,Mercedes-Benz_GLK
2030,4e1303367c23,2015.0,Mercedes-Benz,GLA,GLA,GLA250,Mercedes-Benz_GLA
2040,4e48e394972e,2014.0,Mercedes-Benz,C-Class,C-Class,C250 Sport,Mercedes-Benz_C-Class
2050,4e95ff30028e,2012.0,Mercedes-Benz,C-Class,C-Class,C300 Sport 4MATIC,Mercedes-Benz_C-Class
2142,524ee558a523,2010.0,Mercedes-Benz,E-Class,E-Class,E350,Mercedes-Benz_E-Class
2155,52c6f99a3770,2014.0,Mercedes-Benz,CLA,CLA,CLA 250,Mercedes-Benz_CLA
2174,53af2385d12b,2013.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury 4MATIC,Mercedes-Benz_E-Class
2178,53bd9bf3a97e,2015.0,Mercedes-Benz,CLA,CLA,CLA45 AMG,Mercedes-Benz_CLA
2213,5588758ee21c,2015.0,Mercedes-Benz,E-Class,E-Class,E 350 4MATIC,Mercedes-Benz_E-Class
2263,57e2d0fbed79,2014.0,Mercedes-Benz,E-Class,E-Class,E 350,Mercedes-Benz_E-Class
2268,5817072d0d8b,2009.0,Mercedes-Benz,CLK,CLK,CLK350,Mercedes-Benz_CLK
2312,5a78237008d4,2013.0,Mercedes-Benz,CLS,CLS,CLS 550,Mercedes-Benz_CLS
2315,5a95db0f2f36,2014.0,Mercedes-Benz,M-Class,M-Class,ML350,Mercedes-Benz_M-Class
2319,5ab34f0e3ea5,2011.0,Mercedes-Benz,GLK-Class,GLK-Class,GLK350,Mercedes-Benz_GLK-Class
2320,5ab6e78530e1,2012.0,Mercedes-Benz,C-Class,C-Class,C300 Sport 4MATIC,Mercedes-Benz_C-Class
2335,5b36192f9471,2015.0,Mercedes-Benz,GLA,GLA,GLA250,Mercedes-Benz_GLA
2345,5bdb3d3a8bb2,2015.0,Mercedes-Benz,C-Class,C-Class,C250,Mercedes-Benz_C-Class
2430,5f5c4677de73,2015.0,Mercedes-Benz,C-Class,C-Class,C350 4MATIC Premium Pkg,Mercedes-Benz_C-Class
2473,614114de78cd,2013.0,Mercedes-Benz,C-Class,C-Class,C 300 Luxury 4MATIC,Mercedes-Benz_C-Class
2474,614472f70bcd,2014.0,Mercedes-Benz,GLK,GLK,GLK350 4MATIC,Mercedes-Benz_GLK
2475,614a896a8a52,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury 4MATIC,Mercedes-Benz_E-Class
2480,6155fa5c1ca5,2014.0,Mercedes-Benz,CLA,CLA,CLA250,Mercedes-Benz_CLA
2501,62422640e25f,2014.0,Mercedes-Benz,C-Class,C-Class,C250 Sport,Mercedes-Benz_C-Class
2520,630bcc118624,2015.0,Mercedes-Benz,GLA,GLA,GLA250 4MATIC,Mercedes-Benz_GLA
2523,6330a819261a,2014.0,Mercedes-Benz,CLA,CLA,CLA250 4MATIC Premium Pkg,Mercedes-Benz_CLA
2656,68840b23b73f,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury 4MATIC W/ Premium Pkg 1,Mercedes-Benz_E-Class
2705,6a0cc8118ab8,2013.0,Mercedes-Benz,SL-Class,SL-Class,SL 550 w/Premium Pkg,Mercedes-Benz_SL-Class
2807,6d77433cc7ce,2013.0,Mercedes-Benz,GL-Class,GL-Class,GL 450 4MATIC,Mercedes-Benz_GL-Class
2861,6f72766ed231,2015.0,Mercedes-Benz,CLA,CLA,CLA250 4MATIC,Mercedes-Benz_CLA
2904,70d54ad9f2da,2014.0,Mercedes-Benz,C-Class,C-Class,C300 Sport 4MATIC W/ Premium Pkg 1,Mercedes-Benz_C-Class
2922,717689f3e788,2013.0,Mercedes-Benz,S-Class,S-Class,S 550 4MATIC,Mercedes-Benz_S-Class
2969,737331b59df3,2014.0,Mercedes-Benz,E-Class,E-Class,E 350 Luxury w/ Premium pkg 1,Mercedes-Benz_E-Class
3057,768f299c36e1,2011.0,Mercedes-Benz,CL-Class,CL-Class,CL63 AMG,Mercedes-Benz_CL-Class
3106,788fd97c61e0,2014.0,Mercedes-Benz,C-Class,C-Class,C350 4MATIC,Mercedes-Benz_C-Class
3166,7abaa38c227f,2011.0,Mercedes-Benz,CL-Class,CL-Class,CL550 4MATIC w/ Sport Pkg,Mercedes-Benz_CL-Class
3173,7afd2250037b,2013.0,Mercedes-Benz,S-Class,S-Class,S550 4MATIC,Mercedes-Benz_S-Class
3182,7b605961fc18,2012.0,Mercedes-Benz,E-Class,E-Class,E350 Sport,Mercedes-Benz_E-Class
3212,7c6d9a3a595b,2014.0,Mercedes-Benz,GL-Class,GL-Class,GL 450 4MATIC,Mercedes-Benz_GL-Class
3257,7e746a96c456,2015.0,Mercedes-Benz,GLA,GLA,GLA250,Mercedes-Benz_GLA
3267,7ec4581d0a0f,2014.0,Mercedes-Benz,GLK,GLK,GLK 350,Mercedes-Benz_GLK
3289,7f9a104fae60,2014.0,Mercedes-Benz,C-Class,C-Class,C250 Luxury,Mercedes-Benz_C-Class
3319,8110a395b4bd,2014.0,Mercedes-Benz,E-Class,E-Class,E 350 Sport,Mercedes-Benz_E-Class
3355,82a43a4bf62d,2014.0,Mercedes-Benz,CLA,CLA,CLA250,Mercedes-Benz_CLA
3391,83e2489e745e,2014.0,Mercedes-Benz,CLA,CLA,CLA250,Mercedes-Benz_CLA
3503,8836f8424064,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Sport 4MATIC W/ Luxury Pkg,Mercedes-Benz_E-Class
3509,888e7c8bc18e,2013.0,Mercedes-Benz,C-Class,C-Class,C 250 Sport,Mercedes-Benz_C-Class
3512,8896a09b71a8,2014.0,Mercedes-Benz,CLA,CLA,CLA250,Mercedes-Benz_CLA
3554,8a0e1c1caab5,2013.0,Mercedes-Benz,C-Class,C-Class,C300 Luxury 4MATIC,Mercedes-Benz_C-Class
3592,8b734cfbfcbc,2014.0,Mercedes-Benz,CLA,CLA,CLA250,Mercedes-Benz_CLA
3632,8d46502ea2cc,2013.0,Mercedes-Benz,GLK,GLK,GLK350 4MATIC,Mercedes-Benz_GLK
3706,90bdde690e23,2012.0,Mercedes-Benz,E-Class,E-Class,E 350 w/Premium Pkg,Mercedes-Benz_E-Class
3727,917f262f1608,2014.0,Mercedes-Benz,E-Class,E-Class,E 350 Luxury 4MATIC,Mercedes-Benz_E-Class
3774,93361e09c443,2014.0,Mercedes-Benz,E-Class,E-Class,E 350 Sport 4MATIC w/Sport Pkg,Mercedes-Benz_E-Class
3826,9533dd0d8362,2010.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury,Mercedes-Benz_E-Class
3832,95a1deec88b2,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Sport 4MATIC,Mercedes-Benz_E-Class
3860,971e96e534eb,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury 4MATIC,Mercedes-Benz_E-Class
3874,97c019f1a4bf,2013.0,Mercedes-Benz,C-Class,C-Class,C 300 Sport 4MATIC w/Premium Pkg,Mercedes-Benz_C-Class
3887,9841ee6bee47,2014.0,Mercedes-Benz,CLA,CLA,CLA250,Mercedes-Benz_CLA
3951,9a792d245161,2014.0,Mercedes-Benz,CLA,CLA,CLA 250,Mercedes-Benz_CLA
3963,9b0702a54170,2015.0,Mercedes-Benz,E-Class,E-Class,E 350 4MATIC,Mercedes-Benz_E-Class
3981,9b8c086eff4b,2016.0,Mercedes-Benz,GLA,GLA,GLA 250 4MATIC,Mercedes-Benz_GLA
3992,9bcec00cb99c,2014.0,Mercedes-Benz,CLA,CLA,CLA250,Mercedes-Benz_CLA
4105,a0a222320e1b,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury 4MATIC,Mercedes-Benz_E-Class
4134,a19dd6b24e9e,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury 4MATIC w/Premium Pkg,Mercedes-Benz_E-Class
4180,a3903ada2970,2013.0,Mercedes-Benz,C-Class,C-Class,C 250 Sport,Mercedes-Benz_C-Class
4185,a3d9fef3b1af,2013.0,Mercedes-Benz,C-Class,C-Class,C 250 Sport,Mercedes-Benz_C-Class
4206,a4a802df906d,2014.0,Mercedes-Benz,C-Class,C-Class,C350 w/Sport Pkg,Mercedes-Benz_C-Class
4218,a55962085c65,2012.0,Mercedes-Benz,C-Class,C-Class,C250 W/ Sport Pkg,Mercedes-Benz_C-Class
4303,a84f5e40e48d,2015.0,Mercedes-Benz,GLK,GLK,GLK350,Mercedes-Benz_GLK
4308,a866f408dee1,2015.0,Mercedes-Benz,C-Class,C-Class,C 300 4MATIC,Mercedes-Benz_C-Class
4335,a946521b9a2b,2015.0,Mercedes-Benz,M-Class,M-Class,ML 350,Mercedes-Benz_M-Class
4348,a9a7e161d357,2013.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury 4MATIC,Mercedes-Benz_E-Class
4355,a9f81ac6922a,2014.0,Mercedes-Benz,M-Class,M-Class,ML350 4MATIC,Mercedes-Benz_M-Class
4362,aa65a4ed6b44,2014.0,Mercedes-Benz,CLA,CLA,CLA 250 4MATIC w/ Multimedia Pkg,Mercedes-Benz_CLA
4403,abbe60fff5c8,2012.0,Mercedes-Benz,C-Class,C-Class,C300 Luxury 4MATIC,Mercedes-Benz_C-Class
4424,ac4d60a94c7c,2014.0,Mercedes-Benz,C-Class,C-Class,C250,Mercedes-Benz_C-Class
4507,ae8e9f8f8e7b,2013.0,Mercedes-Benz,M-Class,M-Class,ML350 4MATIC,Mercedes-Benz_M-Class
4510,aea5db5c05cb,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury,Mercedes-Benz_E-Class
4604,b24fd9084449,2009.0,Mercedes-Benz,CLK,CLK,CLK 350,Mercedes-Benz_CLK
4605,b25be50e90d3,2013.0,Mercedes-Benz,CLS,CLS,CLS 550,Mercedes-Benz_CLS
4611,b2755cfb180e,2013.0,Mercedes-Benz,C-Class,C-Class,C250 Luxury W/ Premium Pkg 1,Mercedes-Benz_C-Class
4641,b38f12f9bf0c,2011.0,Mercedes-Benz,E-Class,E-Class,E350,Mercedes-Benz_E-Class
4642,b3ade1db7116,2014.0,Mercedes-Benz,C-Class,C-Class,C250 Sport,Mercedes-Benz_C-Class
4682,b4e68153948b,2013.0,Mercedes-Benz,C-Class,C-Class,C300 Luxury 4MATIC,Mercedes-Benz_C-Class
4754,b8240d50f1a7,2014.0,Mercedes-Benz,M-Class,M-Class,ML 350 4MATIC w/ Premium Pkg 1,Mercedes-Benz_M-Class
4822,baeb0999afeb,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Sport  Luxury Pkg,Mercedes-Benz_E-Class
4830,bb31a3e2b6ec,2013.0,Mercedes-Benz,GLK,GLK,GLK 350,Mercedes-Benz_GLK
4833,bb562a2fb4aa,2014.0,Mercedes-Benz,CLA,CLA,CLA 250 w/Premium Pkg,Mercedes-Benz_CLA
4915,be6576d145ef,2012.0,Mercedes-Benz,C-Class,C-Class,C300 Sport 4MATIC w/Premium Pkg,Mercedes-Benz_C-Class
4990,c15dc62d744d,2014.0,Mercedes-Benz,E-Class,E-Class,E550 4MATIC w/ Premium Pkg,Mercedes-Benz_E-Class
4994,c176179cec76,2014.0,Mercedes-Benz,CLA,CLA,CLA250,Mercedes-Benz_CLA
5003,c1de98e11cd8,2014.0,Mercedes-Benz,GLK,GLK,GLK 350,Mercedes-Benz_GLK
5009,c24077c3a0e0,2015.0,Mercedes-Benz,GLA,GLA,GLA 250,Mercedes-Benz_GLA
5012,c25ef1d306fd,2011.0,Mercedes-Benz,S-Class,S-Class,S550,Mercedes-Benz_S-Class
5038,c3280195f782,2014.0,Mercedes-Benz,GL-Class,GL-Class,GL 450 4MATIC,Mercedes-Benz_GL-Class
5073,c41ddc3860f2,2015.0,Mercedes-Benz,C-Class,C-Class,C250,Mercedes-Benz_C-Class
5122,c63eeca9c4f3,2012.0,Mercedes-Benz,C-Class,C-Class,C300 Luxury 4MATIC,Mercedes-Benz_C-Class
5125,c664bf56f229,2013.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury,Mercedes-Benz_E-Class
5130,c685cec2bb02,2014.0,Mercedes-Benz,E-Class,E-Class,E 350 Luxury,Mercedes-Benz_E-Class
5131,c68915e77331,2012.0,Mercedes-Benz,C-Class,C-Class,C250,Mercedes-Benz_C-Class
5261,cb42d5c9043b,2014.0,Mercedes-Benz,CLA,CLA,CLA 250,Mercedes-Benz_CLA
5317,cdd3f779dd63,2012.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury,Mercedes-Benz_E-Class
5359,cf5f1408af36,2014.0,Mercedes-Benz,M-Class,M-Class,ML350,Mercedes-Benz_M-Class
5365,cf89c3220bc4,2014.0,Mercedes-Benz,B-Class,B-Class,Electric Drive,Mercedes-Benz_B-Class
5462,d3820200f39e,2012.0,Mercedes-Benz,SLK-Class,SLK-Class,SLK350,Mercedes-Benz_SLK-Class
5495,d493fdbf4e9b,2015.0,Mercedes-Benz,GLA,GLA,GLA250 4MATIC,Mercedes-Benz_GLA
5505,d4f5c5e1e619,2011.0,Mercedes-Benz,R-Class,R-Class,R350,Mercedes-Benz_R-Class
5507,d4f8e3270d85,2014.0,Mercedes-Benz,E-Class,E-Class,E350 W/ Sport Pkg,Mercedes-Benz_E-Class
5522,d568ce1e48a2,2015.0,Mercedes-Benz,GLA,GLA,GLA250,Mercedes-Benz_GLA
5544,d658c2c72473,2014.0,Mercedes-Benz,CLA,CLA,CLA 250 w/Multimedia Pkg,Mercedes-Benz_CLA
5633,da08ec3fc368,2013.0,Mercedes-Benz,C-Class,C-Class,C300 Sport 4MATIC,Mercedes-Benz_C-Class
5683,dc273a158955,2014.0,Mercedes-Benz,CLA-Class,CLA-Class,CLA250,Mercedes-Benz_CLA-Class
5692,dc832a73c9a4,2012.0,Mercedes-Benz,C-Class,C-Class,C250 Luxury,Mercedes-Benz_C-Class
5694,dc8d16c1e85d,2015.0,Mercedes-Benz,C-Class,C-Class,C 250,Mercedes-Benz_C-Class
5723,dd47eb7ac4ee,2016.0,Mercedes-Benz,GLA,GLA,GLA 250 4MATIC,Mercedes-Benz_GLA
5804,e070e1c26f08,2013.0,Mercedes-Benz,C-Class,C-Class,C300 4MATIC Sport Pkg,Mercedes-Benz_C-Class
5818,e13442b63eee,2014.0,Mercedes-Benz,C-Class,C-Class,C350 Sport,Mercedes-Benz_C-Class
5837,e2399e0c42c1,2014.0,Mercedes-Benz,M-Class,M-Class,ML350 w/ Premium Pkg 1,Mercedes-Benz_M-Class
5902,e5278b45f77c,2013.0,Mercedes-Benz,M-Class,M-Class,ML 350 4MATIC W/Premium Pkg 1,Mercedes-Benz_M-Class
5923,e61f76c2ccfb,2014.0,Mercedes-Benz,C-Class,C-Class,C250,Mercedes-Benz_C-Class
5967,e7f91e21083c,2012.0,Mercedes-Benz,C-Class,C-Class,C250 Sport,Mercedes-Benz_C-Class
5980,e88349bc0c54,2014.0,Mercedes-Benz,C-Class,C-Class,C250 Sport,Mercedes-Benz_C-Class
6035,eb07e3f63ad2,2012.0,Mercedes-Benz,SLK-Class,SLK-Class,SLK350,Mercedes-Benz_SLK-Class
6060,ebf259c464a3,2014.0,Mercedes-Benz,CLA,CLA,CLA 250 W/ Mult Media pkg,Mercedes-Benz_CLA
6180,f07f8f2e0dd0,2014.0,Mercedes-Benz,C-Class,C-Class,C250 Sport,Mercedes-Benz_C-Class
6217,f20265ae3450,2013.0,Mercedes-Benz,E-Class,,,Mercedes-Benz_E-Class
6277,f47e2b051d7b,2012.0,Mercedes-Benz,C-Class,C-Class,C250 Sport,Mercedes-Benz_C-Class
6300,f586e77eb041,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Luxury W/Premium Pkg,Mercedes-Benz_E-Class
6313,f62080bd250b,2014.0,Mercedes-Benz,CLA,CLA,CLA250,Mercedes-Benz_CLA
6440,fa6d13cdf03c,2012.0,Mercedes-Benz,E-Class,E-Class,E 350 Luxury 4MATIC w/Premium Pkg1,Mercedes-Benz_E-Class
6456,fb1b923dd978,2015.0,Mercedes-Benz,GLK,GLK,GLK 350 4MATIC w/ Premium 1 Pkg,Mercedes-Benz_GLK
6512,fd1cf5abbc01,2013.0,Mercedes-Benz,C-Class,C-Class,C250,Mercedes-Benz_C-Class
6534,fe0a245be32a,2014.0,Mercedes-Benz,CLA,CLA,CLA250 w/Sport Pkg,Mercedes-Benz_CLA
6550,fecd86831fb5,2013.0,Mercedes-Benz,C-Class,C-Class,C300 Luxury 4MATIC,Mercedes-Benz_C-Class
6555,feeeea00ab12,2014.0,Mercedes-Benz,E-Class,E-Class,E 250 BlueTEC Luxury 4MATIC,Mercedes-Benz_E-Class
6566,ffda645c0344,2014.0,Mercedes-Benz,M-Class,M-Class,ML350,Mercedes-Benz_M-Class
6567,ffdf67d8d44b,2014.0,Mercedes-Benz,CLA,CLA,CLA250 w/ Sport Pkg,Mercedes-Benz_CLA
6568,ffe45737b4af,2014.0,Mercedes-Benz,E-Class,E-Class,E350 Sport,Mercedes-Benz_E-Class
109,0471204b1971,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer
116,04a1497734b3,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,ES,Mitsubishi_Outlander Sport
439,12cee71ab024,2014.0,Mitsubishi,Outlander,Outlander,GT W/ Towing Pkg,Mitsubishi_Outlander
446,1325610bad44,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,SE,Mitsubishi_Outlander Sport
541,16f0ec26d608,2012.0,Mitsubishi,i-MiEV,i-MiEV,ES,Mitsubishi_i-MiEV
572,1847ac3affd2,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,ES,Mitsubishi_Outlander Sport
792,206b4aeb95a0,2012.0,Mitsubishi,Lancer Sportback,Lancer Sportback,GT,Mitsubishi_Lancer Sportback
902,245f9c9eab8a,2016.0,Mitsubishi,Lancer,Lancer,GT,Mitsubishi_Lancer
1129,2cc8ac359692,2015.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer
1135,2cf0f4aa59d9,2013.0,Mitsubishi,Outlander Sport,Outlander Sport,LE,Mitsubishi_Outlander Sport
1140,2d0e1b774464,2014.0,Mitsubishi,Outlander,Outlander,SE,Mitsubishi_Outlander
1213,2f39abb12388,2011.0,Mitsubishi,Lancer Evolution,Lancer Evolution,GSR,Mitsubishi_Lancer Evolution
1279,31976481ac59,2014.0,Mitsubishi,Outlander,Outlander,SE,Mitsubishi_Outlander
1440,382ac1856715,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,SE,Mitsubishi_Outlander Sport
1671,40b599bf8021,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer
1725,42de854bf6ad,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,ES,Mitsubishi_Outlander Sport
1742,4361adc97a59,2013.0,Mitsubishi,Outlander Sport,Outlander Sport,SE,Mitsubishi_Outlander Sport
1994,4d1a89beb340,2013.0,Mitsubishi,Outlander Sport,Outlander Sport,ES,Mitsubishi_Outlander Sport
2043,4e5ac4b9f074,2010.0,Mitsubishi,Endeavor,Endeavor,SE,Mitsubishi_Endeavor
2451,6039fc72a3cd,2012.0,Mitsubishi,Galant,Galant,ES,Mitsubishi_Galant
2478,61549420b8aa,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,ES,Mitsubishi_Outlander Sport
2525,6343156803f9,2015.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer
2566,64d79f04ffb1,2015.0,Mitsubishi,Outlander Sport,Outlander Sport,ES,Mitsubishi_Outlander Sport
2747,6b1fb8852b09,2015.0,Mitsubishi,Outlander,Outlander,GT,Mitsubishi_Outlander
2776,6c1c15721795,2011.0,Mitsubishi,Endeavor,Endeavor,LS,Mitsubishi_Endeavor
2828,6e3ab0963ac6,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,ES,Mitsubishi_Outlander Sport
2899,70b6a79565fe,2014.0,Mitsubishi,Lancer Evolution,Lancer Evolution,GSR,Mitsubishi_Lancer Evolution
2962,73319df1fc6c,2016.0,Mitsubishi,Outlander,Outlander,GT,Mitsubishi_Outlander
3010,74f1f434e214,2014.0,Mitsubishi,Outlander,Outlander,GT,Mitsubishi_Outlander
3368,82fd6261f69e,2012.0,Mitsubishi,Galant,Galant,FE,Mitsubishi_Galant
3455,86838b93d6f3,2015.0,Mitsubishi,Mirage,Mirage,DE,Mitsubishi_Mirage
3480,877f14a87ec8,2015.0,Mitsubishi,Outlander Sport,Outlander Sport,ES,Mitsubishi_Outlander Sport
3491,87e52dd24991,2013.0,Mitsubishi,Outlander Sport,Outlander Sport,LE,Mitsubishi_Outlander Sport
3624,8cdafb8ea2f6,2014.0,Mitsubishi,Outlander,Outlander,GT,Mitsubishi_Outlander
3676,8ef61b19fc6b,2015.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer
3752,924205432546,2015.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer
4041,9de4a358e1bc,2015.0,Mitsubishi,Outlander Sport,Outlander Sport,SE,Mitsubishi_Outlander Sport
4365,aa69f0e1f92b,2013.0,Mitsubishi,Outlander Sport,Outlander Sport,SE,Mitsubishi_Outlander Sport
4550,b01932f9120e,2012.0,Mitsubishi,i-MiEV,i-MiEV,ES,Mitsubishi_i-MiEV
4603,b246a69a8916,2013.0,Mitsubishi,Outlander Sport,Outlander Sport,LE,Mitsubishi_Outlander Sport
4623,b2c7a67a809b,2016.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer
4644,b3d209f2c342,2015.0,Mitsubishi,Outlander Sport,Outlander Sport,SE,Mitsubishi_Outlander Sport
4662,b43ae11c3ed1,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer
4695,b59696b75f19,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,SE,Mitsubishi_Outlander Sport
4988,c15854306a09,2013.0,Mitsubishi,Outlander Sport,Outlander Sport,LE,Mitsubishi_Outlander Sport
5371,cfcfceb2709f,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer
5749,de21c6090355,2014.0,Mitsubishi,Outlander,Outlander,SE,Mitsubishi_Outlander
5758,de74550a306a,2016.0,Mitsubishi,Outlander Sport,Outlander Sport,ES,Mitsubishi_Outlander Sport
5812,e10eb22f3054,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer
5931,e6892bf10d31,2016.0,Mitsubishi,Outlander,Outlander,GT w/Touring Pkg,Mitsubishi_Outlander
5957,e7b5a5d7c2fe,2015.0,Mitsubishi,Outlander Sport,Outlander Sport,ES,Mitsubishi_Outlander Sport
6388,f8dc50bb832c,2014.0,Mitsubishi,Outlander,Outlander,ES,Mitsubishi_Outlander
6471,fbba3dfdb0ed,2014.0,Mitsubishi,Outlander Sport,Outlander Sport,ES,Mitsubishi_Outlander Sport
6527,fdbe95520083,2014.0,Mitsubishi,Lancer,Lancer,ES,Mitsubishi_Lancer
18,009c97ec3729,2014.0,Nissan,Sentra,Sentra,S,Nissan_Sentra
20,00afb946a54c,2016.0,Nissan,Rogue,Rogue,S,Nissan_Rogue
28,011330127438,2013.0,Nissan,LEAF,LEAF,S,Nissan_LEAF
38,01aaf972cc52,2015.0,Nissan,Altima,Altima,2.5 SL,Nissan_Altima
50,02159e548029,2009.0,Nissan,cube,cube,1.8 S,Nissan_cube
58,023ea7e5383e,2014.0,Nissan,Altima,Altima,2.5 SV,Nissan_Altima
92,038d9c3c973a,2016.0,Nissan,Frontier,Frontier,SV,Nissan_Frontier
100,03c25511587d,2014.0,Nissan,Armada,Armada,Platinum,Nissan_Armada
103,040260add8e2,2014.0,Nissan,Frontier,Frontier,Desert Runner,Nissan_Frontier
111,047df42a3f14,2014.0,Nissan,Versa Note,Versa Note,SV,Nissan_Versa Note
113,048d4eba0a15,2015.0,Nissan,JUKE,JUKE,S,Nissan_JUKE
123,04e6038105f3,2014.0,Nissan,Versa,Versa,1.6 S,Nissan_Versa
139,05a91b014fb8,2014.0,Nissan,Murano,Murano,SL,Nissan_Murano
161,0653d239bd8f,2015.0,Nissan,Versa Note,Versa Note,SV,Nissan_Versa Note
167,066c4c571496,2014.0,Nissan,Murano,Murano,SV,Nissan_Murano
173,06c902ba4a55,2014.0,Nissan,Maxima,Maxima,3.5 S,Nissan_Maxima
178,06f838789041,2016.0,Nissan,Pathfinder,Pathfinder,SL,Nissan_Pathfinder
